# URL; Genre; Name
http://radioszerver.hu:8300/; Ismeretlen; Radio Q
http://92.61.114.195:13150/; Rock AC; Radió Rock 95.8
http://92.61.114.195:8010/; CHR; Radio Smile
http://87.229.45.44:8100/; Ismeretlen; Rádió Som
http://radioszerver.net:19730/; Ismeretlen; Rádió Sun
http://streamhost110.gtk.hu:9078/; Ismeretlen; Rádió Szarvas
http://stream2.composeit.hu:8400/; Ismeretlen; Rádió Szentendre
http://www.radiotop.hu:888/; Ismeretlen; Rádió Top
http://stream.retrofm.hu:8000/listen; Hot AC; Retro Rádió
http://91.82.84.179:8500/relay_911; Hot AC; Sirius Rádió - Kiskunfélegyháza
http://91.82.84.179:8500/relay_882; Hot AC; Sirius Rádió - Kiskunmajsa
http://92.61.114.159:7812/slagerfm256.mp3; AC; Sláger FM
http://195.56.193.129:8100/; CHR; Sunshine Rádió
http://online.szentistvanradio.hu:7000/; Vallási műsorok; Szent István Rádió
http://radioszerver.hu:9100/; Ismeretlen; Tamási Rádió
http://radioszerver.hu:7070/; CHR; Táska Rádió
http://stream.tilos.hu:80/tilos_128.mp3; Ismeretlen; Tilos Rádió
http://hosting.42netmedia.com:10010/; Ismeretlen; Tisza-tó Rádió
http://87.229.45.44:8020/; Ismeretlen; Torony Rádió
http://radio.nordtelekom.hu:8000/gazdasagiradio; Ismeretlen; Trend FM
http://79.172.217.50:9090/; CHR; Trió Rádió
http://217.13.100.100:8000/vorosmarty_mid.mp3; AC; Vörösmarty Rádió
